5 Minutes,Flow (Veh/5 Minutes)
4/1/2020 17:05,85
4/1/2020 17:10,79
4/1/2020 17:15,105
4/1/2020 17:20,103
4/1/2020 17:25,90
4/1/2020 17:30,82
4/1/2020 17:35,100
4/1/2020 17:40,92
4/1/2020 17:45,80
4/1/2020 17:50,83
4/1/2020 17:55,77
4/1/2020 18:00,73
4/1/2020 18:05,67
4/1/2020 18:10,76
4/1/2020 18:15,76
4/1/2020 18:20,68
4/1/2020 18:25,72
4/1/2020 18:30,72
4/1/2020 18:35,60
4/1/2020 18:40,69
4/1/2020 18:45,75
4/1/2020 18:50,60
4/1/2020 18:55,61
4/1/2020 19:00,69
4/1/2020 19:05,58
4/1/2020 19:10,63
4/1/2020 19:15,71
4/1/2020 19:20,64
4/1/2020 19:25,58
4/1/2020 19:30,53
4/1/2020 19:35,59
4/1/2020 19:40,69
4/1/2020 19:45,54
4/1/2020 19:50,60
4/1/2020 19:55,51
4/1/2020 20:00,40
4/1/2020 20:05,58
4/1/2020 20:10,48
4/1/2020 20:15,41
4/1/2020 20:20,50
4/1/2020 20:25,47
4/1/2020 20:30,43
4/1/2020 20:35,42
4/1/2020 20:40,42
4/1/2020 20:45,54
4/1/2020 20:50,38
4/1/2020 20:55,42
4/1/2020 21:00,41
4/1/2020 21:05,49
4/1/2020 21:10,46
4/1/2020 21:15,34
4/1/2020 21:20,38
4/1/2020 21:25,41
4/1/2020 21:30,41
4/1/2020 21:35,48
4/1/2020 21:40,30
4/1/2020 21:45,33
4/1/2020 21:50,40
4/1/2020 21:55,24
4/1/2020 22:00,34
4/1/2020 22:05,24
4/1/2020 22:10,33
4/1/2020 22:15,32
4/1/2020 22:20,23
4/1/2020 22:25,24
4/1/2020 22:30,24
4/1/2020 22:35,26
4/1/2020 22:40,19
4/1/2020 22:45,16
4/1/2020 22:50,14
4/1/2020 22:55,21
4/1/2020 23:00,16
4/1/2020 23:05,11
4/1/2020 23:10,19
4/1/2020 23:15,22
4/1/2020 23:20,16
4/1/2020 23:25,16
4/1/2020 23:30,17
4/1/2020 23:35,23
4/1/2020 23:40,10
4/1/2020 23:45,20
4/1/2020 23:50,20
4/1/2020 23:55,11
5/1/2020 0:00,12
5/1/2020 0:05,14
5/1/2020 0:10,9
5/1/2020 0:15,6
5/1/2020 0:20,9
5/1/2020 0:25,9
5/1/2020 0:30,12
5/1/2020 0:35,10
5/1/2020 0:40,6
5/1/2020 0:45,6
5/1/2020 0:50,12
5/1/2020 0:55,2
5/1/2020 1:00,11
5/1/2020 1:05,5
5/1/2020 1:10,9
5/1/2020 1:15,8
5/1/2020 1:20,8
5/1/2020 1:25,2
5/1/2020 1:30,9
5/1/2020 1:35,7
5/1/2020 1:40,1
5/1/2020 1:45,5
5/1/2020 1:50,5
5/1/2020 1:55,8
5/1/2020 2:00,3
5/1/2020 2:05,4
5/1/2020 2:10,5
5/1/2020 2:15,3
5/1/2020 2:20,6
5/1/2020 2:25,7
5/1/2020 2:30,3
5/1/2020 2:35,8
5/1/2020 2:40,3
5/1/2020 2:45,3
5/1/2020 2:50,3
5/1/2020 2:55,2
5/1/2020 3:00,4
5/1/2020 3:05,2
5/1/2020 3:10,4
5/1/2020 3:15,7
5/1/2020 3:20,8
5/1/2020 3:25,6
5/1/2020 3:30,6
5/1/2020 3:35,8
5/1/2020 3:40,8
5/1/2020 3:45,12
5/1/2020 3:50,6
5/1/2020 3:55,7
5/1/2020 4:00,12
5/1/2020 4:05,11
5/1/2020 4:10,10
5/1/2020 4:15,19
5/1/2020 4:20,17
5/1/2020 4:25,16
5/1/2020 4:30,18
5/1/2020 4:35,24
5/1/2020 4:40,33
5/1/2020 4:45,45
5/1/2020 4:50,44
5/1/2020 4:55,40
5/1/2020 5:00,53
5/1/2020 5:05,44
5/1/2020 5:10,54
5/1/2020 5:15,67
5/1/2020 5:20,60
5/1/2020 5:25,69
5/1/2020 5:30,75
5/1/2020 5:35,73
5/1/2020 5:40,106
5/1/2020 5:45,101
5/1/2020 5:50,94
5/1/2020 5:55,90
5/1/2020 6:00,108
5/1/2020 6:05,106
5/1/2020 6:10,120
5/1/2020 6:15,126
5/1/2020 6:20,127
5/1/2020 6:25,163
5/1/2020 6:30,128
5/1/2020 6:35,154
5/1/2020 6:40,157
5/1/2020 6:45,171
5/1/2020 6:50,152
5/1/2020 6:55,150
5/1/2020 7:00,148
5/1/2020 7:05,147
5/1/2020 7:10,148
5/1/2020 7:15,136
5/1/2020 7:20,136
5/1/2020 7:25,96
5/1/2020 7:30,114
5/1/2020 7:35,103
5/1/2020 7:40,77
5/1/2020 7:45,82
5/1/2020 7:50,63
5/1/2020 7:55,74
5/1/2020 8:00,85
5/1/2020 8:05,91
5/1/2020 8:10,73
5/1/2020 8:15,80
5/1/2020 8:20,70
5/1/2020 8:25,69
5/1/2020 8:30,69
5/1/2020 8:35,63
5/1/2020 8:40,77
5/1/2020 8:45,59
5/1/2020 8:50,65
5/1/2020 8:55,63
5/1/2020 9:00,56
5/1/2020 9:05,57
5/1/2020 9:10,66
5/1/2020 9:15,73
5/1/2020 9:20,63
5/1/2020 9:25,70
5/1/2020 9:30,80
5/1/2020 9:35,79
5/1/2020 9:40,90
5/1/2020 9:45,87
5/1/2020 9:50,83
5/1/2020 9:55,59
5/1/2020 10:00,78
5/1/2020 10:05,63
5/1/2020 10:10,71
5/1/2020 10:15,73
5/1/2020 10:20,76
5/1/2020 10:25,90
5/1/2020 10:30,70
5/1/2020 10:35,83
5/1/2020 10:40,74
5/1/2020 10:45,87
5/1/2020 10:50,75
5/1/2020 10:55,85
5/1/2020 11:00,80
5/1/2020 11:05,69
5/1/2020 11:10,72
5/1/2020 11:15,75
5/1/2020 11:20,77
5/1/2020 11:25,72
5/1/2020 11:30,64
5/1/2020 11:35,90
5/1/2020 11:40,89
5/1/2020 11:45,53
5/1/2020 11:50,46
5/1/2020 11:55,47
5/1/2020 12:00,41
5/1/2020 12:05,83
5/1/2020 12:10,63
5/1/2020 12:15,76
5/1/2020 12:20,71
5/1/2020 12:25,47
5/1/2020 12:30,72
5/1/2020 12:35,71
5/1/2020 12:40,37
5/1/2020 12:45,17
5/1/2020 12:50,74
5/1/2020 12:55,72
5/1/2020 13:00,80
5/1/2020 13:05,69
5/1/2020 13:10,62
5/1/2020 13:15,57
5/1/2020 13:20,65
5/1/2020 13:25,51
5/1/2020 13:30,61
5/1/2020 13:35,69
5/1/2020 13:40,77
5/1/2020 13:45,31
5/1/2020 13:50,95
5/1/2020 13:55,77
5/1/2020 14:00,64
5/1/2020 14:05,69
5/1/2020 14:10,57
5/1/2020 14:15,74
5/1/2020 14:20,73
5/1/2020 14:25,70
5/1/2020 14:30,74
5/1/2020 14:35,65
5/1/2020 14:40,73
5/1/2020 14:45,87
5/1/2020 14:50,56
5/1/2020 14:55,71
5/1/2020 15:00,51
5/1/2020 15:05,67
5/1/2020 15:10,65
5/1/2020 15:15,79
5/1/2020 15:20,95
5/1/2020 15:25,81
5/1/2020 15:30,79
5/1/2020 15:35,92
5/1/2020 15:40,103
5/1/2020 15:45,83
5/1/2020 15:50,89
5/1/2020 15:55,71
5/1/2020 16:00,72
5/1/2020 16:05,74
5/1/2020 16:10,81
5/1/2020 16:15,77
5/1/2020 16:20,80
5/1/2020 16:25,86
5/1/2020 16:30,78
5/1/2020 16:35,73
5/1/2020 16:40,82
5/1/2020 16:45,70
5/1/2020 16:50,83
5/1/2020 16:55,81
5/1/2020 17:00,75
5/1/2020 17:05,80
5/1/2020 17:10,81
5/1/2020 17:15,95
5/1/2020 17:20,95
5/1/2020 17:25,77
5/1/2020 17:30,81
5/1/2020 17:35,68
5/1/2020 17:40,66
5/1/2020 17:45,80
5/1/2020 17:50,75
5/1/2020 17:55,62
5/1/2020 18:00,74
5/1/2020 18:05,81
5/1/2020 18:10,71
5/1/2020 18:15,75
5/1/2020 18:20,80
5/1/2020 18:25,66
5/1/2020 18:30,72
5/1/2020 18:35,61
5/1/2020 18:40,62
5/1/2020 18:45,60
5/1/2020 18:50,64
5/1/2020 18:55,55
5/1/2020 19:00,70
5/1/2020 19:05,51
5/1/2020 19:10,60
5/1/2020 19:15,51
5/1/2020 19:20,60
5/1/2020 19:25,58
5/1/2020 19:30,49
5/1/2020 19:35,51
5/1/2020 19:40,58
5/1/2020 19:45,37
5/1/2020 19:50,40
5/1/2020 19:55,45
5/1/2020 20:00,48
5/1/2020 20:05,39
5/1/2020 20:10,45
5/1/2020 20:15,56
5/1/2020 20:20,44
5/1/2020 20:25,47
5/1/2020 20:30,37
5/1/2020 20:35,37
5/1/2020 20:40,43
5/1/2020 20:45,37
5/1/2020 20:50,48
5/1/2020 20:55,43
5/1/2020 21:00,28
5/1/2020 21:05,40
5/1/2020 21:10,41
5/1/2020 21:15,36
5/1/2020 21:20,47
5/1/2020 21:25,33
5/1/2020 21:30,30
5/1/2020 21:35,30
5/1/2020 21:40,31
5/1/2020 21:45,27
5/1/2020 21:50,35
5/1/2020 21:55,24
5/1/2020 22:00,21
5/1/2020 22:05,25
5/1/2020 22:10,26
5/1/2020 22:15,31
5/1/2020 22:20,29
5/1/2020 22:25,25
5/1/2020 22:30,25
5/1/2020 22:35,20
5/1/2020 22:40,19
5/1/2020 22:45,15
5/1/2020 22:50,18
5/1/2020 22:55,13
5/1/2020 23:00,13
5/1/2020 23:05,13
5/1/2020 23:10,18
5/1/2020 23:15,15
5/1/2020 23:20,12
5/1/2020 23:25,12
5/1/2020 23:30,8
5/1/2020 23:35,14
5/1/2020 23:40,13
5/1/2020 23:45,15
5/1/2020 23:50,16
5/1/2020 23:55,12
6/1/2020 0:00,13
6/1/2020 0:05,5
6/1/2020 0:10,7
6/1/2020 0:15,8
6/1/2020 0:20,8
6/1/2020 0:25,6
6/1/2020 0:30,9
6/1/2020 0:35,10
6/1/2020 0:40,11
6/1/2020 0:45,2
6/1/2020 0:50,7
6/1/2020 0:55,4
6/1/2020 1:00,9
6/1/2020 1:05,4
6/1/2020 1:10,7
6/1/2020 1:15,7
6/1/2020 1:20,6
6/1/2020 1:25,11
6/1/2020 1:30,3
6/1/2020 1:35,3
6/1/2020 1:40,4
6/1/2020 1:45,2
6/1/2020 1:50,1
6/1/2020 1:55,7
6/1/2020 2:00,5
6/1/2020 2:05,4
6/1/2020 2:10,1
6/1/2020 2:15,4
6/1/2020 2:20,3
6/1/2020 2:25,1
6/1/2020 2:30,4
6/1/2020 2:35,5
6/1/2020 2:40,2
6/1/2020 2:45,2
6/1/2020 2:50,7
6/1/2020 2:55,3
6/1/2020 3:00,5
6/1/2020 3:05,3
6/1/2020 3:10,2
6/1/2020 3:15,5
6/1/2020 3:20,7
6/1/2020 3:25,5
6/1/2020 3:30,1
6/1/2020 3:35,10
6/1/2020 3:40,10
6/1/2020 3:45,13
6/1/2020 3:50,8
6/1/2020 3:55,8
6/1/2020 4:00,11
6/1/2020 4:05,9
6/1/2020 4:10,11
6/1/2020 4:15,15
6/1/2020 4:20,14
6/1/2020 4:25,17
6/1/2020 4:30,10
6/1/2020 4:35,33
6/1/2020 4:40,34
6/1/2020 4:45,28
6/1/2020 4:50,41
6/1/2020 4:55,35
6/1/2020 5:00,49
6/1/2020 5:05,38
6/1/2020 5:10,51
6/1/2020 5:15,57
6/1/2020 5:20,61
6/1/2020 5:25,60
6/1/2020 5:30,77
6/1/2020 5:35,79
6/1/2020 5:40,108
6/1/2020 5:45,81
6/1/2020 5:50,101
6/1/2020 5:55,112
6/1/2020 6:00,97
6/1/2020 6:05,107
6/1/2020 6:10,101
6/1/2020 6:15,110
6/1/2020 6:20,124
6/1/2020 6:25,132
6/1/2020 6:30,117
6/1/2020 6:35,160
6/1/2020 6:40,167
6/1/2020 6:45,160
6/1/2020 6:50,174
6/1/2020 6:55,159
6/1/2020 7:00,186
6/1/2020 7:05,144
6/1/2020 7:10,141
6/1/2020 7:15,118
6/1/2020 7:20,103
6/1/2020 7:25,95
6/1/2020 7:30,73
6/1/2020 7:35,85
6/1/2020 7:40,85
6/1/2020 7:45,73
6/1/2020 7:50,76
6/1/2020 7:55,73
6/1/2020 8:00,91
6/1/2020 8:05,82
6/1/2020 8:10,88
6/1/2020 8:15,96
6/1/2020 8:20,78
6/1/2020 8:25,91
6/1/2020 8:30,82
6/1/2020 8:35,63
6/1/2020 8:40,80
6/1/2020 8:45,81
6/1/2020 8:50,93
6/1/2020 8:55,79
6/1/2020 9:00,70
6/1/2020 9:05,99
6/1/2020 9:10,82
6/1/2020 9:15,117
6/1/2020 9:20,102
6/1/2020 9:25,113
6/1/2020 9:30,112
6/1/2020 9:35,122
6/1/2020 9:40,94
6/1/2020 9:45,118
6/1/2020 9:50,118
6/1/2020 9:55,109
6/1/2020 10:00,130
6/1/2020 10:05,103
6/1/2020 10:10,95
6/1/2020 10:15,94
6/1/2020 10:20,89
6/1/2020 10:25,118
6/1/2020 10:30,103
6/1/2020 10:35,112
6/1/2020 10:40,102
6/1/2020 10:45,108
6/1/2020 10:50,96
6/1/2020 10:55,88
6/1/2020 11:00,91
6/1/2020 11:05,91
6/1/2020 11:10,89
6/1/2020 11:15,94
6/1/2020 11:20,75
6/1/2020 11:25,89
6/1/2020 11:30,79
6/1/2020 11:35,72
6/1/2020 11:40,76
6/1/2020 11:45,64
6/1/2020 11:50,75
6/1/2020 11:55,71
6/1/2020 12:00,61
6/1/2020 12:05,71
6/1/2020 12:10,76
6/1/2020 12:15,67
6/1/2020 12:20,96
6/1/2020 12:25,89
6/1/2020 12:30,100
6/1/2020 12:35,84
6/1/2020 12:40,76
6/1/2020 12:45,78
6/1/2020 12:50,94
6/1/2020 12:55,62
6/1/2020 13:00,59
6/1/2020 13:05,72
6/1/2020 13:10,75
6/1/2020 13:15,76
6/1/2020 13:20,66
6/1/2020 13:25,71
6/1/2020 13:30,75
6/1/2020 13:35,76
6/1/2020 13:40,42
6/1/2020 13:45,60
6/1/2020 13:50,65
6/1/2020 13:55,53
6/1/2020 14:00,52
6/1/2020 14:05,50
6/1/2020 14:10,64
6/1/2020 14:15,79
6/1/2020 14:20,76
6/1/2020 14:25,72
6/1/2020 14:30,66
6/1/2020 14:35,80
6/1/2020 14:40,73
6/1/2020 14:45,89
6/1/2020 14:50,69
6/1/2020 14:55,81
6/1/2020 15:00,72
6/1/2020 15:05,81
6/1/2020 15:10,68
6/1/2020 15:15,77
6/1/2020 15:20,73
6/1/2020 15:25,77
6/1/2020 15:30,76
6/1/2020 15:35,85
6/1/2020 15:40,87
6/1/2020 15:45,85
6/1/2020 15:50,85
6/1/2020 15:55,77
6/1/2020 16:00,59
6/1/2020 16:05,73
6/1/2020 16:10,73
6/1/2020 16:15,81
6/1/2020 16:20,77
6/1/2020 16:25,79
6/1/2020 16:30,82
6/1/2020 16:35,68
6/1/2020 16:40,72
6/1/2020 16:45,80
6/1/2020 16:50,87
6/1/2020 16:55,72
6/1/2020 17:00,67
6/1/2020 17:05,67
6/1/2020 17:10,88
6/1/2020 17:15,95
6/1/2020 17:20,80
6/1/2020 17:25,79
6/1/2020 17:30,75
6/1/2020 17:35,77
6/1/2020 17:40,83
6/1/2020 17:45,71
6/1/2020 17:50,76
6/1/2020 17:55,73
6/1/2020 18:00,64
6/1/2020 18:05,75
6/1/2020 18:10,71
6/1/2020 18:15,85
6/1/2020 18:20,65
6/1/2020 18:25,75
6/1/2020 18:30,70
6/1/2020 18:35,60
6/1/2020 18:40,69
6/1/2020 18:45,54
6/1/2020 18:50,36
6/1/2020 18:55,48
6/1/2020 19:00,69
6/1/2020 19:05,58
6/1/2020 19:10,59
6/1/2020 19:15,60
6/1/2020 19:20,60
6/1/2020 19:25,60
6/1/2020 19:30,53
6/1/2020 19:35,66
6/1/2020 19:40,60
6/1/2020 19:45,49
6/1/2020 19:50,55
6/1/2020 19:55,45
6/1/2020 20:00,38
6/1/2020 20:05,40
6/1/2020 20:10,51
6/1/2020 20:15,23
6/1/2020 20:20,42
6/1/2020 20:25,47
6/1/2020 20:30,29
6/1/2020 20:35,37
6/1/2020 20:40,29
6/1/2020 20:45,30
6/1/2020 20:50,41
6/1/2020 20:55,29
6/1/2020 21:00,36
6/1/2020 21:05,37
6/1/2020 21:10,31
6/1/2020 21:15,31
6/1/2020 21:20,32
6/1/2020 21:25,39
6/1/2020 21:30,32
6/1/2020 21:35,30
6/1/2020 21:40,36
6/1/2020 21:45,35
6/1/2020 21:50,32
6/1/2020 21:55,25
6/1/2020 22:00,22
6/1/2020 22:05,18
6/1/2020 22:10,17
6/1/2020 22:15,26
6/1/2020 22:20,23
6/1/2020 22:25,24
6/1/2020 22:30,24
6/1/2020 22:35,19
6/1/2020 22:40,18
6/1/2020 22:45,16
6/1/2020 22:50,21
6/1/2020 22:55,16
6/1/2020 23:00,11
6/1/2020 23:05,13
6/1/2020 23:10,19
6/1/2020 23:15,11
6/1/2020 23:20,13
6/1/2020 23:25,8
6/1/2020 23:30,13
6/1/2020 23:35,12
6/1/2020 23:40,15
6/1/2020 23:45,12
6/1/2020 23:50,11
6/1/2020 23:55,10
7/1/2020 0:00,6
7/1/2020 0:05,8
7/1/2020 0:10,11
7/1/2020 0:15,9
7/1/2020 0:20,8
7/1/2020 0:25,8
7/1/2020 0:30,5
7/1/2020 0:35,8
7/1/2020 0:40,8
7/1/2020 0:45,6
7/1/2020 0:50,5
7/1/2020 0:55,9
7/1/2020 1:00,5
7/1/2020 1:05,2
7/1/2020 1:10,3
7/1/2020 1:15,5
7/1/2020 1:20,5
7/1/2020 1:25,1
7/1/2020 1:30,6
7/1/2020 1:35,2
7/1/2020 1:40,2
7/1/2020 1:45,7
7/1/2020 1:50,4
7/1/2020 1:55,5
7/1/2020 2:00,5
7/1/2020 2:05,4
7/1/2020 2:10,1
7/1/2020 2:15,3
7/1/2020 2:20,1
7/1/2020 2:25,1
7/1/2020 2:30,4
7/1/2020 2:35,5
7/1/2020 2:40,7
7/1/2020 2:45,3
7/1/2020 2:50,8
7/1/2020 2:55,5
7/1/2020 3:00,1
7/1/2020 3:05,2
7/1/2020 3:10,1
7/1/2020 3:15,5
7/1/2020 3:20,2
7/1/2020 3:25,4
7/1/2020 3:30,7
7/1/2020 3:35,9
7/1/2020 3:40,7
7/1/2020 3:45,7
7/1/2020 3:50,10
7/1/2020 3:55,7
7/1/2020 4:00,9
7/1/2020 4:05,10
7/1/2020 4:10,12
7/1/2020 4:15,17
7/1/2020 4:20,14
7/1/2020 4:25,16
7/1/2020 4:30,14
7/1/2020 4:35,19
7/1/2020 4:40,26
7/1/2020 4:45,28
7/1/2020 4:50,31
7/1/2020 4:55,30
7/1/2020 5:00,26
7/1/2020 5:05,45
7/1/2020 5:10,46
7/1/2020 5:15,52
7/1/2020 5:20,62
7/1/2020 5:25,62
7/1/2020 5:30,75
7/1/2020 5:35,66
7/1/2020 5:40,87
7/1/2020 5:45,90
7/1/2020 5:50,91
7/1/2020 5:55,72
7/1/2020 6:00,105
7/1/2020 6:05,90
7/1/2020 6:10,104
7/1/2020 6:15,125
7/1/2020 6:20,113
7/1/2020 6:25,142
7/1/2020 6:30,124
7/1/2020 6:35,146
7/1/2020 6:40,145
7/1/2020 6:45,153
7/1/2020 6:50,137
7/1/2020 6:55,154
7/1/2020 7:00,140
7/1/2020 7:05,152
7/1/2020 7:10,132
7/1/2020 7:15,115
7/1/2020 7:20,123
7/1/2020 7:25,117
7/1/2020 7:30,99
7/1/2020 7:35,79
7/1/2020 7:40,83
7/1/2020 7:45,79
7/1/2020 7:50,67
7/1/2020 7:55,72
7/1/2020 8:00,82
7/1/2020 8:05,76
7/1/2020 8:10,78
7/1/2020 8:15,62
7/1/2020 8:20,74
7/1/2020 8:25,68
7/1/2020 8:30,79
7/1/2020 8:35,69
7/1/2020 8:40,83
7/1/2020 8:45,65
7/1/2020 8:50,90
7/1/2020 8:55,83
7/1/2020 9:00,89
7/1/2020 9:05,93
7/1/2020 9:10,86
7/1/2020 9:15,94
7/1/2020 9:20,93
7/1/2020 9:25,88
7/1/2020 9:30,121
7/1/2020 9:35,103
7/1/2020 9:40,119
7/1/2020 9:45,110
7/1/2020 9:50,115
7/1/2020 9:55,99
7/1/2020 10:00,99
7/1/2020 10:05,89
7/1/2020 10:10,97
7/1/2020 10:15,86
7/1/2020 10:20,94
7/1/2020 10:25,89
7/1/2020 10:30,113
7/1/2020 10:35,98
7/1/2020 10:40,92
7/1/2020 10:45,101
7/1/2020 10:50,94
7/1/2020 10:55,79
7/1/2020 11:00,72
7/1/2020 11:05,99
7/1/2020 11:10,91
7/1/2020 11:15,95
7/1/2020 11:20,107
7/1/2020 11:25,97
7/1/2020 11:30,110
7/1/2020 11:35,114
7/1/2020 11:40,87
7/1/2020 11:45,112
7/1/2020 11:50,87
7/1/2020 11:55,89
7/1/2020 12:00,89
7/1/2020 12:05,91
7/1/2020 12:10,105
7/1/2020 12:15,85
7/1/2020 12:20,104
7/1/2020 12:25,79
7/1/2020 12:30,71
7/1/2020 12:35,89
7/1/2020 12:40,80
7/1/2020 12:45,107
7/1/2020 12:50,86
7/1/2020 12:55,103
7/1/2020 13:00,92
7/1/2020 13:05,95
7/1/2020 13:10,92
7/1/2020 13:15,81
7/1/2020 13:20,94
7/1/2020 13:25,87
7/1/2020 13:30,86
7/1/2020 13:35,101
7/1/2020 13:40,93
7/1/2020 13:45,90
7/1/2020 13:50,86
7/1/2020 13:55,84
7/1/2020 14:00,89
7/1/2020 14:05,83
7/1/2020 14:10,104
7/1/2020 14:15,86
7/1/2020 14:20,93
7/1/2020 14:25,110
7/1/2020 14:30,90
7/1/2020 14:35,100
7/1/2020 14:40,108
7/1/2020 14:45,92
7/1/2020 14:50,93
7/1/2020 14:55,95
7/1/2020 15:00,73
7/1/2020 15:05,96
7/1/2020 15:10,92
7/1/2020 15:15,94
7/1/2020 15:20,97
7/1/2020 15:25,71
7/1/2020 15:30,105
7/1/2020 15:35,93
7/1/2020 15:40,102
7/1/2020 15:45,91
7/1/2020 15:50,94
7/1/2020 15:55,96
7/1/2020 16:00,94
7/1/2020 16:05,83
7/1/2020 16:10,87
7/1/2020 16:15,84
7/1/2020 16:20,99
7/1/2020 16:25,87
7/1/2020 16:30,87
7/1/2020 16:35,96
7/1/2020 16:40,96
7/1/2020 16:45,92
7/1/2020 16:50,90
7/1/2020 16:55,88
7/1/2020 17:00,88
7/1/2020 17:05,97
7/1/2020 17:10,83
7/1/2020 17:15,114
7/1/2020 17:20,103
